
Querying Entries:   0%|          | 0/100 [00:00<?, ?entry/s]
Querying Entries:   0%|          | 0/100 [00:14<?, ?entry/s, AdvAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  11%|█         | 11/100 [03:28<31:51, 21.48s/entry, AdvAcc: (gpt4o: 9.1% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  11%|█         | 11/100 [04:01<31:51, 21.48s/entry, AdvAcc: (gpt4o: 8.3% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  12%|█▏        | 12/100 [04:02<36:56, 25.19s/entry, AdvAcc: (gpt4o: 8.3% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  12%|█▏        | 12/100 [04:12<36:56, 25.19s/entry, AdvAcc: (gpt4o: 7.7% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  13%|█▎        | 13/100 [04:13<30:28, 21.01s/entry, AdvAcc: (gpt4o: 7.7% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  13%|█▎        | 13/100 [04:30<30:28, 21.01s/entry, AdvAcc: (gpt4o: 7.1% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  14%|█▍        | 14/100 [04:31<28:41, 20.02s/entry, AdvAcc: (gpt4o: 7.1% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  14%|█▍        | 14/100 [04:41<28:41, 20.02s/entry, AdvAcc: (gpt4o: 6.7% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  15%|█▌        | 15/100 [04:42<24:34, 17.34s/entry, AdvAcc: (gpt4o: 6.7% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  15%|█▌        | 15/100 [04:52<24:34, 17.34s/entry, AdvAcc: (gpt4o: 6.2% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  16%|█▌        | 16/100 [04:53<21:40, 15.48s/entry, AdvAcc: (gpt4o: 6.2% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  16%|█▌        | 16/100 [05:08<21:40, 15.48s/entry, AdvAcc: (gpt4o: 5.9% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  17%|█▋        | 17/100 [05:09<21:39, 15.66s/entry, AdvAcc: (gpt4o: 5.9% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  17%|█▋        | 17/100 [05:33<21:39, 15.66s/entry, AdvAcc: (gpt4o: 5.6% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  18%|█▊        | 18/100 [05:34<25:07, 18.39s/entry, AdvAcc: (gpt4o: 5.6% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  18%|█▊        | 18/100 [05:43<25:07, 18.39s/entry, AdvAcc: (gpt4o: 5.3% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  19%|█▉        | 19/100 [05:44<21:35, 16.00s/entry, AdvAcc: (gpt4o: 5.3% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  19%|█▉        | 19/100 [05:58<21:35, 16.00s/entry, AdvAcc: (gpt4o: 5.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  20%|██        | 20/100 [05:59<21:02, 15.78s/entry, AdvAcc: (gpt4o: 5.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  20%|██        | 20/100 [06:16<21:02, 15.78s/entry, AdvAcc: (gpt4o: 4.8% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  21%|██        | 21/100 [06:17<21:25, 16.27s/entry, AdvAcc: (gpt4o: 4.8% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  21%|██        | 21/100 [06:47<21:25, 16.27s/entry, AdvAcc: (gpt4o: 4.5% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  22%|██▏       | 22/100 [06:48<27:06, 20.86s/entry, AdvAcc: (gpt4o: 4.5% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  22%|██▏       | 22/100 [06:59<27:06, 20.86s/entry, AdvAcc: (gpt4o: 4.3% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  23%|██▎       | 23/100 [07:00<23:12, 18.08s/entry, AdvAcc: (gpt4o: 4.3% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  23%|██▎       | 23/100 [07:12<23:12, 18.08s/entry, AdvAcc: (gpt4o: 4.2% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  24%|██▍       | 24/100 [07:13<21:02, 16.61s/entry, AdvAcc: (gpt4o: 4.2% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  24%|██▍       | 24/100 [07:25<21:02, 16.61s/entry, AdvAcc: (gpt4o: 4.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  25%|██▌       | 25/100 [07:26<19:17, 15.43s/entry, AdvAcc: (gpt4o: 4.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  25%|██▌       | 25/100 [07:38<19:17, 15.43s/entry, AdvAcc: (gpt4o: 3.8% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  26%|██▌       | 26/100 [07:39<18:10, 14.74s/entry, AdvAcc: (gpt4o: 3.8% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  26%|██▌       | 26/100 [07:58<18:10, 14.74s/entry, AdvAcc: (gpt4o: 3.7% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  27%|██▋       | 27/100 [07:59<19:41, 16.18s/entry, AdvAcc: (gpt4o: 3.7% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  27%|██▋       | 27/100 [08:11<19:41, 16.18s/entry, AdvAcc: (gpt4o: 3.6% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  28%|██▊       | 28/100 [08:12<18:18, 15.26s/entry, AdvAcc: (gpt4o: 3.6% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  28%|██▊       | 28/100 [08:22<18:18, 15.26s/entry, AdvAcc: (gpt4o: 3.4% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  29%|██▉       | 29/100 [08:23<16:43, 14.13s/entry, AdvAcc: (gpt4o: 3.4% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  29%|██▉       | 29/100 [08:43<16:43, 14.13s/entry, AdvAcc: (gpt4o: 3.3% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  30%|███       | 30/100 [08:44<18:39, 16.00s/entry, AdvAcc: (gpt4o: 3.3% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  30%|███       | 30/100 [08:57<18:39, 16.00s/entry, AdvAcc: (gpt4o: 3.2% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  31%|███       | 31/100 [08:58<17:54, 15.57s/entry, AdvAcc: (gpt4o: 3.2% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  31%|███       | 31/100 [09:26<17:54, 15.57s/entry, AdvAcc: (gpt4o: 3.1% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  32%|███▏      | 32/100 [09:27<22:02, 19.46s/entry, AdvAcc: (gpt4o: 3.1% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  32%|███▏      | 32/100 [09:41<22:02, 19.46s/entry, AdvAcc: (gpt4o: 3.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  33%|███▎      | 33/100 [09:42<20:31, 18.38s/entry, AdvAcc: (gpt4o: 3.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  33%|███▎      | 33/100 [09:55<20:31, 18.38s/entry, AdvAcc: (gpt4o: 2.9% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  34%|███▍      | 34/100 [09:56<18:29, 16.80s/entry, AdvAcc: (gpt4o: 2.9% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  34%|███▍      | 34/100 [10:13<18:29, 16.80s/entry, AdvAcc: (gpt4o: 2.9% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  35%|███▌      | 35/100 [10:14<18:34, 17.15s/entry, AdvAcc: (gpt4o: 2.9% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  35%|███▌      | 35/100 [10:26<18:34, 17.15s/entry, AdvAcc: (gpt4o: 2.8% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  36%|███▌      | 36/100 [10:27<17:00, 15.94s/entry, AdvAcc: (gpt4o: 2.8% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  36%|███▌      | 36/100 [10:38<17:00, 15.94s/entry, AdvAcc: (gpt4o: 2.7% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  37%|███▋      | 37/100 [10:39<15:31, 14.78s/entry, AdvAcc: (gpt4o: 2.7% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  37%|███▋      | 37/100 [10:51<15:31, 14.78s/entry, AdvAcc: (gpt4o: 2.6% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  38%|███▊      | 38/100 [10:52<14:48, 14.32s/entry, AdvAcc: (gpt4o: 2.6% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  38%|███▊      | 38/100 [11:02<14:48, 14.32s/entry, AdvAcc: (gpt4o: 2.6% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  39%|███▉      | 39/100 [11:03<13:24, 13.18s/entry, AdvAcc: (gpt4o: 2.6% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  39%|███▉      | 39/100 [11:21<13:24, 13.18s/entry, AdvAcc: (gpt4o: 2.5% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  40%|████      | 40/100 [11:22<15:01, 15.03s/entry, AdvAcc: (gpt4o: 2.5% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  40%|████      | 40/100 [11:32<15:01, 15.03s/entry, AdvAcc: (gpt4o: 2.4% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  41%|████      | 41/100 [11:33<13:42, 13.94s/entry, AdvAcc: (gpt4o: 2.4% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  41%|████      | 41/100 [11:45<13:42, 13.94s/entry, AdvAcc: (gpt4o: 2.4% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  42%|████▏     | 42/100 [11:46<13:12, 13.66s/entry, AdvAcc: (gpt4o: 2.4% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  42%|████▏     | 42/100 [12:02<13:12, 13.66s/entry, AdvAcc: (gpt4o: 2.3% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  43%|████▎     | 43/100 [12:03<13:56, 14.68s/entry, AdvAcc: (gpt4o: 2.3% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  43%|████▎     | 43/100 [12:28<13:56, 14.68s/entry, AdvAcc: (gpt4o: 2.3% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
Querying Entries:  44%|████▍     | 44/100 [12:29<16:48, 18.01s/entry, AdvAcc: (gpt4o: 2.3% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%) -- SrcAcc: (gpt4o: 0.0% | cl3.7s: 0.0% | L3-70b: 0.0% | L3-8b: 0.0%)]
